#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes
329,4640.55,2.6031,0,0,0,0,0,1485,481977,82653208
330,4642.34,1.9995,0,0,0,0,0,1485,481977,82653208
331,4644.89,2.0966,0,0,0,0,0,1485,481977,82653208
332,4646.25,2.1265,0,0,0,0,0,1485,481977,82653208
333,4648.65,2.1876,0,0,0,0,0,1485,481977,82653208
334,4650.66,1.6944,0,0,0,0,0,1485,481977,82653208
335,4652.08,1.9165,0,0,0,0,0,1485,481977,82653208
336,4653.21,1.0527,0,0,0,0,0,1485,481977,82653208
337,4654.98,1.9076,0,0,0,0,0,1485,481977,82653208
338,4656.61,0.9851,0,0,0,0,0,1485,481977,82653208
339,4657.69,1.6407,0,0,0,0,0,1485,481977,82653208
340,4659.22,1.4675,0,0,0,0,0,1485,481977,82653208
341,4661.02,1.133,0,0,0,0,0,1485,481977,82653208
342,4662.58,2.1798,0,0,0,0,0,1485,481977,82653208
343,4664.08,1.1867,0,0,0,0,0,1485,481977,82653208
344,4665.39,1.6583,0,0,0,0,0,1485,481977,82653208
345,4667.45,1.5942,0,0,0,0,0,1485,481977,82653208
346,4669.77,1.9451,0,0,0,0,0,1485,481977,82653208
347,4671.64,2.4182,0,0,0,0,0,1485,481977,82653208
348,4673.23,1.8573,0,0,0,0,0,1485,481977,82653208
349,4674.37,1.1717,0,0,0,0,0,1485,481977,82653208
350,4675.91,1.1404,0,0,0,0,0,1485,481977,82653208
351,4678.2,1.554,0,0,0,0,0,1485,481977,82653208
352,4679.52,2.2846,0,0,0,0,0,1485,481977,82653208
353,4681.09,1.313,0,0,0,0,0,1485,481977,82653208
354,4682.48,1.5776,0,0,0,0,0,1485,481977,82653208
355,4684.84,1.8506,0,0,0,0,0,1485,481977,82653208
356,4686.63,2.3272,0,0,0,0,0,1485,481977,82653208
357,4687.86,1.3523,0,0,0,0,0,1485,481977,82653208
358,4689.49,1.6259,0,0,0,0,0,1485,481977,82653208
359,4690.73,1.2382,0,0,0,0,0,1485,481977,82653208
360,4691.79,1.2341,0,0,0,0,0,1485,481977,82653208
361,4693.43,1.0747,0,0,0,0,0,1485,481977,82653208
362,4695.92,2.4921,0,0,0,0,0,1485,481977,82653208
363,4698.82,2.7557,0,0,0,0,0,1485,481977,82653208
364,4701.09,2.3551,0,0,0,0,0,1485,481977,82653208
365,4703.01,2.2762,0,0,0,0,0,1485,481977,82653208
366,4704.78,1.8151,0,0,0,0,0,1485,481977,82653208
