#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
8,1227135791,7908,668
8,1840697858,8446,864
8,613566819,7383,236
8,1840699462,5219,664
8,1227133789,3798,1044
8,1227133533,8086,812
8,2090,7077,1504
8,1840700203,9060,2496
8,267,5757,388
8,1840697895,4147,1632
8,2351,8330,136
8,322,5624,1668
8,2915,7154,872
8,47,6032,876
8,1227133742,8006,212
8,613566479,7810,24
8,1227133465,2640,1164
8,359,6469,2348
8,1840698122,4161,432
8,613568806,7494,1272
8,2147,3930,724
8,2371,6188,1200
8,546,4269,1684
8,291,7537,516
8,2890,7000,800
8,1840697450,6026,1524
8,1227133455,7985,8
8,1227133777,3244,452
8,613566833,3796,568
8,1227133469,3064,688
8,613566804,4992,1848
8,1840699659,7872,76
8,2127,4449,604
8,613567043,7574,564
8,1840697678,4906,1412
8,613565031,9088,580
8,2087,9438,248
8,1840700287,2235,156
8,1840697346,9239,1176
8,613566745,4685,1944
8,1840699406,6433,648
8,35,8172,1112
8,270,11238,400
8,613567311,21336,272
9,1227132934,20224,1040
9,1227132963,28643,996
9,16971,13195,760
9,2890,30829,800
9,613564707,7982,64
9,1840697607,7422,836
9,2923,7220,808
9,1840697922,7975,112
9,2118,4601,724
9,814,5012,652
9,834,7051,1692
9,1840699982,6948,1372
9,2378,5249,1960
9,1840699971,5411,1028
9,1227133788,3190,1304
9,1840699490,5634,932
9,1227133497,2763,892
9,1840697666,5706,1064
9,326,5218,672
9,778,5083,812
9,1227133454,7618,236
9,1840698146,4568,928
9,613565254,8028,24
9,107,3499,936
9,613564706,7660,1044
9,613566798,8236,204
9,66,9283,1532
9,2883,7068,1124
9,266,6663,1336
9,48,4777,2428
9,1840697423,6423,1508
9,277,2750,876
9,613566773,6635,2232
9,16963,5614,792
9,16,6414,2636
9,1840697447,5151,1220
9,2671,7801,68
9,25,2187,288
9,1840697898,6826,3512
9,613566836,2335,536
9,1840697611,5897,1180
9,1840699907,4875,952
9,613566535,7485,588
9,1840699498,4548,740
9,613564710,7307,1132
9,1840697359,7018,996
9,1840700263,8472,1524
9,1227133776,3163,604
9,1840698115,3419,428
9,2415,8104,824
9,1840700029,3751,1440
9,613566741,5226,1900
9,2055,7591,1080
9,1227149827,7023,1404
9,1840700195,4930,1084
9,1840698147,4048,1104
9,613566745,11748,1844
9,1227133501,12743,880
9,1840698159,23848,1104
10,613564718,27314,128
10,613564483,14149,828
10,305,2707,776
10,1227133486,22445,420
10,1227133218,7405,180
10,2083,7491,892
10,355,5921,2176
10,1840699434,7465,1124
10,2887,7559,628
10,362,4686,2280
10,613564482,6737,1372
10,17,4549,3488
10,613564458,7756,32
10,2639,7103,256
10,1840700007,6748,812
10,2370,7024,2280
10,70,5514,692
10,1840697351,6740,304
10,1840700221,2024,152
10,1840699914,6001,1836
10,67,5201,1032
10,1840698123,4822,808
10,613566563,8066,484
10,613565262,6266,1416
10,2830,6614,2104
10,2119,4383,616
10,610,7933,452
10,1840700277,2310,976
10,2918,6345,848
10,15,6695,556
10,526,6837,836
10,1227133464,2222,496
10,1227133706,7610,52
10,2151,4627,1760
10,613566542,7860,252
10,613566781,3763,2772
10,2598,4008,812
10,304,3212,1580
10,613566799,7965,184
10,847,7922,28
10,2886,5864,436
10,1227133560,5202,2072
