#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,4616.12,107.219,77.339,0,0,1048576,1,52,15197,43193216,172032000
0,4731.4,88.9474,278.224,0,0,1048576,3,56,15872,43229096,174129152
0,4826.77,114.437,121.647,0,0,1048576,2,57,16084,43268096,176226304
0,5340.8,386.315,630.569,0,0,1048576,8,66,18969,43470688,178323456
0,5447.62,225.963,226.703,0,0,1048576,3,68,19530,43540888,180420608
0,5537.21,104.005,38.651,0,0,1048576,1,69,19869,43557424,182517760
0,5628.16,90.3015,126.771,0,0,1048576,1,69,19869,43569384,184614912
0,5729.2,91.2437,198.227,0,0,1048576,2,72,20346,43594656,186712064
0,5813.55,100.032,0,0,0,1048576,0,72,20346,43594656,188809216
0,5900.89,84.2994,95.718,0,0,1048576,1,72,20346,43616704,190906368
0,5983.48,87.3815,119.88,0,0,1048576,1,73,20629,43626896,193003520
0,6063.04,82.5392,54.042,0,0,1048576,1,74,20760,43647592,195100672
0,6161.69,79.9072,189.395,0,0,1048576,2,77,21469,43682224,197197824
0,6273.74,98.6778,131.84,0,0,1048576,2,78,21692,43752840,199294976
0,6363.55,111.709,35.562,0,0,524288,1,79,22374,43799432,201392128
0,6449.87,89.9459,179.717,0,0,524288,2,81,23013,43829800,203489280
0,6530.4,86.3479,0,0,0,524288,0,82,23361,43829800,205586432
0,6613.31,80.5704,68.174,0,0,524288,1,82,23361,43848728,207683584
0,6699.88,82.758,157.78,0,0,524288,2,84,24277,43914352,209780736
0,6791.66,86.7118,250.129,0,0,524288,3,87,25201,44005040,211877888
0,6883.41,91.5489,102.307,0,0,524288,1,89,27028,44115800,213975040
0,6975.11,91.7513,69.852,0,0,524288,1,89,27028,44137432,216072192
0,7062.87,91.7127,113.752,0,0,524288,1,91,27365,44142112,218169344
0,7164.18,87.7584,106.997,0,0,524288,2,92,27390,44189640,220266496
0,7262.43,111.929,111.054,0,0,524288,2,94,28250,44212000,222363648
